timestamp,buy_box,visibility_order,condizione,venduto_da,spedito_da,num_valutazioni,valutazioni_positive,prezzo,qta_min,prezzo_prod_venduto,tipo_spedizione,prezzo_spedizione,prezzo_totale,dif_prezzo,dif_prezzo_sped,dif_prezzo_tot,g_cons_min,g_cons_max,g_spedizione,g_cons_vel_min,g_cons_vel_max,g_spedizione_vel,spedizione_consegna,condizione_usato,stelle,delta_consegna,delta_num_val,delta_val_pos(%),rapp_piu_basso,fba,vend_amazon
2022-02-07T12:00:42,1,0,Nuovo,Amazon,Amazon,40067,0,21,1,21,Gratuita,0,21,3,0,"0,01",3,3,0,1,1,0,"Spedizione GRATUITA: giovedì, 10 feb sul tuo primo ordine idoneo. Consegna più veloce: domani Ordina entro 2 ore e 45 min Maggiori informazioni", ,"4,5",0,220,100,1,TRUE,TRUE
2022-02-07T12:00:42,0,1,Nuovo,Rck Store,Rck Store,7055,96,"20,49",2,"40,98",Gratuita,0,"40,98","2,48",0,"19,98",4,7,3,2,4,2,Spedizione GRATUITA: 11 - 14 feb Maggiori informazioni Consegna più veloce: 9 - 11 feb Maggiori informazioni, ,"4,5",1,33232,4,"1,95",FALSE,FALSE
2022-02-07T12:00:42,0,2,Nuovo,Mondo Copie,Mondo Copie,1603,94,"20,99",1,"20,99",Gratuita,0,"20,99","2,98",0,0,3,8,5,0,0,0,Spedizione GRATUITA: 10 - 15 feb Maggiori informazioni, ,"4,5",2,38684,6,1,FALSE,FALSE
2022-02-07T12:00:42,0,3,Nuovo,Ristoservice,Ristoservice,731,86,21,1,21,Gratuita,0,21,3,0,"0,01",7,8,1,0,0,0,Spedizione GRATUITA: 14 - 15 feb Maggiori informazioni, ,"4,5",6,39556,14,1,FALSE,FALSE
2022-02-07T12:00:42,0,4,Nuovo,Tipiliano,Tipiliano,40287,96,"21,4",1,"21,4",Gratuita,0,"21,4","3,39",0,"0,41",4,4,0,0,0,0,"Spedizione GRATUITA: venerdì, 11 feb Maggiori informazioni", ,5,3,0,4,"1,01",FALSE,FALSE
2022-02-07T12:00:42,0,5,Nuovo,ROCARD,ROCARD,15518,99,"21,4",1,"21,4",Gratuita,0,"21,4","3,39",0,"0,41",3,3,0,0,0,0,"Spedizione GRATUITA: giovedì, 10 feb Maggiori informazioni", ,5,2,24769,1,"1,01",FALSE,FALSE
2022-02-07T12:00:42,0,6,Nuovo,JoeBreak2016,JoeBreak2016,5450,99,"21,4",1,"21,4",Gratuita,0,"21,4","3,39",0,"0,41",3,7,4,2,4,2,Spedizione GRATUITA: 10 - 14 feb Maggiori informazioni Consegna più veloce: 9 - 11 feb Maggiori informazioni, ,5,1,34837,1,"1,01",FALSE,FALSE
2022-02-07T12:00:42,0,7,Nuovo,3P SHOP,3P SHOP,15371,97,"21,5",1,"21,5",Gratuita,0,"21,5","3,5",0,"0,51",4,4,0,0,0,0,"Spedizione GRATUITA: venerdì, 11 feb Maggiori informazioni", ,5,3,24916,3,"1,02",FALSE,FALSE
2022-02-07T12:00:42,0,8,Nuovo,SAPORE CAFFE,SAPORE CAFFE,769,100,"21,5",1,"21,5",Gratuita,0,"21,5","3,5",0,"0,51",4,9,5,2,4,2,Spedizione GRATUITA: 11 - 16 feb Maggiori informazioni Consegna più veloce: 9 - 11 feb Maggiori informazioni, ,5,1,39518,0,"1,02",FALSE,FALSE
2022-02-07T12:00:42,0,9,Nuovo,DadyBozzy,DadyBozzy,235,100,22,1,22,Gratuita,0,22,4,0,"1,01",3,4,1,0,0,0,Spedizione GRATUITA: 10 - 11 feb Maggiori informazioni, ,5,2,40052,0,"1,04",FALSE,FALSE
2022-02-07T12:00:42,0,10,Nuovo,Top Cialde,Top Cialde,2967,100,22,1,22,Gratuita,0,22,4,0,"1,01",4,4,0,0,0,0,"Spedizione GRATUITA: venerdì, 11 feb Maggiori informazioni", ,5,3,37320,0,"1,04",FALSE,FALSE
2022-02-07T12:00:42,0,11,Nuovo,La Compagnia del caffè,La Compagnia del caffè,1469,93,"22,15",1,"22,15",Gratuita,0,"22,15","4,14",0,"1,16",2,4,2,2,2,0,"Spedizione GRATUITA: 9 - 11 feb Maggiori informazioni Consegna più veloce: mercoledì, 9 feb Maggiori informazioni", ,"4,5",1,38818,7,"1,05",FALSE,FALSE
2022-02-07T12:00:42,0,12,Nuovo,BELOTTI DISTRIBUTION,BELOTTI DISTRIBUTION,7116,96,"22,49",1,"22,49",Gratuita,0,"22,49","4,48",0,"1,5",4,4,0,0,0,0,"Spedizione GRATUITA: venerdì, 11 feb Maggiori informazioni", ,"4,5",3,33171,4,"1,07",FALSE,FALSE
2022-02-07T12:00:42,0,13,Nuovo,ORMEOUTLET,ORMEOUTLET,3714,97,"22,9",1,"22,9",Gratuita,0,"22,9","4,89",0,"1,91",3,3,0,0,0,0,"Spedizione GRATUITA: giovedì, 10 feb Maggiori informazioni", ,5,2,36573,3,"1,09",FALSE,FALSE
2022-02-07T12:00:42,0,14,Nuovo,L'Emporio del Caffè srl,L'Emporio del Caffè srl,1286,98,"23,5",1,"23,5",Gratuita,0,"23,5","5,5",0,"2,51",3,3,0,0,0,0,"Spedizione GRATUITA: giovedì, 10 feb Maggiori informazioni", ,5,2,39001,2,"1,11",FALSE,FALSE
2022-02-07T12:00:42,0,15,Nuovo,Mokanet Store,Mokanet Store,2,100,"23,97",1,"23,97",Gratuita,0,"23,97","5,96",0,"2,98",3,8,5,0,0,0,Spedizione GRATUITA: 10 - 15 feb Maggiori informazioni, ,5,2,40285,0,"1,14",FALSE,FALSE
2022-02-07T12:00:42,0,16,Nuovo,Bacom,Bacom,14326,96,"23,99",1,"23,99",Gratuita,0,"23,99","5,98",0,3,8,11,3,7,9,2,Spedizione GRATUITA: 15 - 18 feb Maggiori informazioni Consegna più veloce: 14 - 16 feb Maggiori informazioni, ,"4,5",6,25961,4,"1,14",FALSE,FALSE
2022-02-07T12:00:42,0,17,Nuovo,CAVEBA 2.0 SRL,CAVEBA 2.0 SRL,2681,98,"24,02",1,"24,02",Gratuita,0,"24,02","6,02",0,"3,03",4,9,5,0,0,0,Spedizione GRATUITA: 11 - 16 feb Maggiori informazioni, ,5,3,37606,2,"1,14",FALSE,FALSE
2022-02-07T12:00:42,0,18,Nuovo,Albaeleshop,Albaeleshop,249,95,"24,47",1,"24,47",Gratuita,0,"24,47","6,46",0,"3,48",8,11,3,0,0,0,Spedizione GRATUITA: 15 - 18 feb Maggiori informazioni, ,"4,5",7,40038,5,"1,16",FALSE,FALSE
2022-02-07T12:00:42,0,19,Nuovo,NONSOLO-INFORMATICA,NONSOLO-INFORMATICA,967,98,"24,95",1,"24,95",Gratuita,0,"24,95","6,94",0,"3,96",7,9,2,4,8,4,Spedizione GRATUITA: 14 - 16 feb Maggiori informazioni Consegna più veloce: 11 - 15 feb Maggiori informazioni, ,5,3,39320,2,"1,18",FALSE,FALSE
2022-02-07T12:00:42,0,20,Nuovo,CaffèNapoletano,CaffèNapoletano,1162,97,18,1,18,A Pagamento,7,25,0,7,"4,01",3,7,4,0,0,0,"Consegna a 7,00 € : 10 - 14 feb Maggiori informazioni", ,5,2,39125,3,"1,19",FALSE,FALSE
2022-02-07T12:00:42,0,21,Nuovo,BELOTTI DISTRIBUTION,BELOTTI DISTRIBUTION,7116,96,"22,49",1,"22,49",Gratuita,0,"22,49","4,48",0,"1,5",4,4,0,0,0,0,"Spedizione GRATUITA: venerdì, 11 feb Maggiori informazioni", ,"4,5",3,33171,4,"1,07",FALSE,FALSE
2022-02-07T12:00:42,0,22,Nuovo,CoffeeWeb,CoffeeWeb,7,43,"19,67",1,"19,67",A Pagamento,"5,99","25,66","1,67","5,99","4,67",14,14,0,1,1,0,"Consegna a 5,99 € : lunedì, 21 feb Maggiori informazioni Consegna più veloce: domani Maggiori informazioni", ,"3,5",0,40280,57,"1,22",FALSE,FALSE
2022-02-07T12:00:42,0,23,Nuovo,Eurochibi MegaStore,Eurochibi MegaStore,623,100,"19,64",1,"19,64",A Pagamento,"6,5","26,14","1,64","6,5","5,15",3,7,4,0,0,0,"Consegna a 6,50 € : 10 - 14 feb Maggiori informazioni", ,5,2,39664,0,"1,24",FALSE,FALSE
2022-02-07T12:00:42,0,24,Nuovo,CaffeinaStoreShop,CaffeinaStoreShop,0,0,"20,9",1,"20,9",A Pagamento,"7,5","28,4","2,89","7,5","7,41",3,4,1,0,0,0,"Consegna a 7,50 € : 10 - 11 feb Maggiori informazioni", ,0,2,40287,100,"1,35",FALSE,FALSE
