timestamp,buy_box,visibility_order,condizione,venduto_da,spedito_da,num_valutazioni,valutazioni_positive,prezzo,qta_min,prezzo_prod_venduto(€),tipo_spedizione,prezzo_spedizione(€),prezzo_totale(€),dif_prezzo,dif_prezzo_sped,dif_prezzo_tot,g_cons_min,g_cons_max,g_spedizione,g_cons_vel_min,g_cons_vel_max,g_spedizione_vel,spedizione_consegna,condizione_usato,stelle,delta_consegna,delta_num_val,delta_val_pos(%),rapp_piu_basso,fba,vend_amazon
2022-02-07T12:01:08,1,0,Nuovo,Amazon,Amazon,1036,0,"15,59",1,"15,59",Gratuita,0,"15,59","2,91",0,0,3,3,0,2,2,0,"Spedizione GRATUITA: giovedì, 10 feb sul tuo primo ordine idoneo. Consegna più veloce: mercoledì, 9 feb Ordina entro 11 ore e 59 min Maggiori informazioni", ,"4,5",0,110940,100,1,TRUE,TRUE
2022-02-07T12:01:08,0,1,Nuovo,dodax-italy,dodax-italy,111976,94,"12,68",1,"12,68",A Pagamento,"2,9","15,58",0,"2,9",0,16,29,13,0,0,0,"Consegna a 2,90 € : 23 feb - 8 mar Maggiori informazioni", ,"4,5",14,0,6,1,FALSE,FALSE
2022-02-07T12:01:08,0,2,Nuovo,Boulevard Online,Boulevard Online,3171,78,"17,36",1,"17,36",A Pagamento,"4,99","22,35","4,68","4,99","6,77",7,9,2,0,0,0,"Consegna a 4,99 € : 14 - 16 feb Maggiori informazioni", ,4,5,108805,22,"1,43",FALSE,FALSE
2022-02-07T12:01:08,0,3,Nuovo,Libreria Bortoloso snc,Libreria Bortoloso snc,2828,94,"21,9",1,"21,9",A Pagamento,"5,49","27,39","9,21","5,49","11,81",8,10,2,7,9,2,"Consegna a 5,49 € : 15 - 17 feb Maggiori informazioni Consegna più veloce: 14 - 16 feb Maggiori informazioni", ,"4,5",5,109148,6,"1,75",FALSE,FALSE
2022-02-07T12:01:08,0,4,Nuovo,SOGNI DI CARTA,SOGNI DI CARTA,150,95,22,1,22,A Pagamento,"5,44","27,44","9,32","5,44","11,86",7,8,1,2,2,0,"Consegna a 5,44 € : 14 - 15 feb Maggiori informazioni Consegna più veloce: mercoledì, 9 feb Maggiori informazioni", ,5,0,111826,5,"1,76",FALSE,FALSE
2022-02-07T12:01:08,0,5,Nuovo,LISOLADELLEIDEE,LISOLADELLEIDEE,115,89,"21,9",1,"21,9",A Pagamento,"5,9","27,79","9,21","5,9","12,21",8,11,3,0,0,0,"Consegna a 5,90 € : 15 - 18 feb Maggiori informazioni", ,"4,5",6,111861,11,"1,78",FALSE,FALSE
2022-02-07T12:01:08,0,6,Nuovo,abcartoleria,abcartoleria,2,100,25,1,25,A Pagamento,"2,99","27,99","12,32","2,99","12,4",3,11,8,0,0,0,"Consegna a 2,99 € : 10 - 18 feb Maggiori informazioni", ,5,1,111974,0,"1,79",FALSE,FALSE
2022-02-07T12:01:08,0,7,Nuovo,NUOVO PROGRAMMA UFFICIO SRL,NUOVO PROGRAMMA UFFICIO SRL,4780,87,"21,9",1,"21,9",A Pagamento,"6,99","28,89","9,21","6,99","13,31",8,10,2,7,9,2,"Consegna a 6,99 € : 15 - 17 feb Maggiori informazioni Consegna più veloce: 14 - 16 feb Maggiori informazioni", ,"4,5",5,107196,13,"1,85",FALSE,FALSE
2022-02-07T12:01:08,0,8,Nuovo,Europens,Europens,192,81,"23,17",1,"23,17",A Pagamento,"6,49","29,66","10,49","6,49","14,08",22,30,8,0,0,0,"Consegna a 6,49 € : 1 - 9 mar Maggiori informazioni", ,4,20,111784,19,"1,9",FALSE,FALSE
2022-02-07T12:01:08,0,9,Nuovo,latecnicavi,latecnicavi,145,93,"29,9",1,"29,9",Gratuita,0,"29,9","17,22",0,"14,31",3,7,4,2,4,2,Spedizione GRATUITA: 10 - 14 feb Maggiori informazioni Consegna più veloce: 9 - 11 feb Maggiori informazioni, ,5,0,111831,7,"1,91",FALSE,FALSE
